,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestActressNomPrevYearCount,Nominations_Academy_Person_OtherBestActressNomSameYearCount,Nominations_Academy_Person_OtherBestActressWinPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActressNomPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActressNomSameYearCount,Nominations_Academy_Person_OtherBestSupportingActressWinPrevYearCount,Nominations_Academy_Person_OtherNonBestActressNomPrevYearCount,Nominations_Academy_Person_OtherNonBestActressNomSameYearCount,Nominations_Academy_Person_OtherNonBestActressWinPrevYearCount,Person_Age,Person_Name
0,0,1,0,0,0,0,0,0,0,0,0,0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Favourite  ,1,15,1,5,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,0,44,Olivia Colman
1,0,0,0,0,0,0,0,0,0,0,0,1,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Wife  ,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,71,Glenn Close
2,0,1,0,0,0,0,0,0,0,0,0,0,88.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A Star Is Born  ,0,43,0,11,1,1,1,0,0,4,1,0,0,0,0,0,0,1,1,0,32,Lady Gaga
3,0,0,0,0,0,0,0,0,0,0,0,1,87.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Can You Ever Forgive Me?  ,0,6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,48,Melissa McCarthy
4,0,1,0,0,0,0,0,0,0,0,0,0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roma  ,0,29,1,17,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,0,25,Yalitza Aparicio
5,0,0,0,0,0,0,0,0,0,0,0,1,88.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Three Billboards Outside Ebbing, Missouri  ",1,9,0,2,0,0,1,0,0,4,1,0,0,1,3,0,0,0,0,0,60,Frances McDormand
6,0,0,0,0,0,0,0,0,0,0,0,1,77.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"I, Tonya  ",0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,Margot Robbie
7,0,0,1,0,0,0,0,0,0,0,0,0,83.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,The Post  ,0,76,0,26,0,0,1,0,0,0,0,14,0,2,3,0,1,0,0,0,68,Meryl Streep
8,0,1,0,0,0,0,0,0,0,0,0,0,87.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,The Shape of Water  ,0,28,1,14,0,0,1,1,0,9,1,0,0,0,1,0,0,0,0,0,41,Sally Hawkins
9,0,0,0,0,0,0,0,0,0,0,0,1,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lady Bird  ,0,14,1,2,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,23,Saoirse Ronan
